":START_ID(Person-ID)",":TYPE",":END_ID(Movie-ID)"
"1027969","Written","1299731"
"search","Written","1299731"
"1042352","Written","1299731"
"search","Written","1292702"
"search","Written","1947265"
"1050155","Written","1308819"
"1050129","Written","1308819"
"1005514","Written","1308819"
"1040673","Written","1308819"
"1319562","Written","10746041"
"1355473","Written","10746041"
"1355474","Written","10746041"
"1048706","Written","1401329"
"1319469","Written","1296246"
"1005449","Written","1296246"
,"Written","19955871"
"1054526","Written","1294438"
"1014215","Written","25787475"
"1003832","Written","25787475"
"1024920","Written","1432778"
"1301381","Written","1432778"
,"Written","2286311"
"1008659","Written","1305747"
"1043243","Written","1305747"
"search","Written","1863433"
"1002212","Written","1305214"
"search","Written","1305214"
"1010799","Written","1305214"
"1007152","Written","1298040"
"1298762","Written","1298040"
"1014215","Written","1300754"
"1143774","Written","1300754"
"search","Written","1417945"
"1300474","Written","1292403"
"search","Written","1300583"
"search","Written","1308836"
"1293939","Written","1308836"
"search","Written","1296824"
"search","Written","1296824"
"search","Written","1296824"
"1160301","Written","1296824"
"1050012","Written","1296824"
"1275139","Written","4004731"
"1045933","Written","1296444"
"1282578","Written","1308932"
"1305449","Written","1756584"
"1277254","Written","1756584"
"1054430","Written","25881888"
"1010043","Written","3796608"
"1030475","Written","3796608"
"1355832","Written","26656866"
"1355831","Written","26656866"
"search","Written","26299473"
"1000329","Written","1293590"
"1351971","Written","26253733"
"1041607","Written","1293137"
"1013792","Written","1293137"
"1031814","Written","1293137"
"1027257","Written","6531219"
"1041879","Written","6531219"
"1010562","Written","1293760"
"1040554","Written","1293760"
"1002719","Written","1293760"
,"Written","7015732"
"1018454","Written","24879206"
"1051033","Written","19897413"
"1031241","Written","25835479"
,"Written","3155405"
,"Written","1877942"
"1051716","Written","3249563"
"1032246","Written","1294070"
"1050154","Written","6999835"
"1023577","Written","1448595"
"1022811","Written","1448595"
"1023588","Written","1448595"
"1010252","Written","1304626"
"1317101","Written","26279918"
"1299321","Written","1298873"
"1037617","Written","2135922"
"1012768","Written","2135922"
"1047882","Written","2135922"
"search","Written","1293040"
"search","Written","1293040"
"search","Written","1293040"
"search","Written","1295727"
"search","Written","1295727"
"1010040","Written","1293290"
"1047980","Written","1757728"
"1009626","Written","19976777"
"1028736","Written","1766042"
"1308024","Written","1766042"
"search","Written","1766042"
"search","Written","1766042"
"1009662","Written","1766042"
"1274642","Written","1766042"
"1290465","Written","1766042"
"1315640","Written","1766042"
"search","Written","1766042"
"1015122","Written","1766042"
"1276314","Written","1292214"
"1017969","Written","6533054"
"1041402","Written","6533054"
"search","Written","2301179"
"1033771","Written","2301179"
"search","Written","2301179"
"1036569","Written","3231742"
"1327339","Written","3231742"
"1013888","Written","3231742"
"1015145","Written","3231742"
"1320298","Written","3231742"
"1050183","Written","3231742"
"171632","Written","3231742"
